年份,期号,号1,号2,号3,号4,号5,号6,特码
2020,200,27,46,10,38,02,26,14
2020,201,38,48,42,31,20,24,35
2020,202,26,01,45,15,20,36,41
2020,203,29,23,48,03,12,25,17
2020,204,14,24,43,06,49,48,35
2020,205,26,08,42,07,32,36,30
2020,206,32,23,07,22,14,21,35
2020,207,42,31,36,43,33,21,07
2020,208,41,21,49,29,45,06,33
2020,209,41,16,37,17,03,09,20
2020,210,34,09,01,29,33,02,49
2020,211,42,05,23,30,41,37,35
2020,212,29,11,46,09,45,07,15
2020,213,27,34,11,37,19,25,03
2020,214,40,01,15,49,44,05,48
2020,215,48,27,11,04,19,42,17
2020,216,40,02,07,38,29,37,23
2020,217,08,45,25,01,10,47,37
2020,218,08,10,15,47,24,02,21
2020,219,44,28,41,03,23,19,31
2020,220,47,04,29,25,19,41,23
2020,221,17,27,37,25,02,05,10
2020,222,23,44,48,37,10,07,35
2020,223,22,33,05,01,32,19,45
2020,224,37,20,27,43,35,48,08
2020,225,32,20,47,34,07,18,05
2020,226,32,33,06,45,14,05,40
2020,227,33,24,41,23,35,01,05
2020,228,38,07,13,49,33,36,37
2020,229,40,15,10,16,11,18,05
2020,230,49,04,08,21,47,15,37
2020,231,26,27,20,14,42,45,28
2020,232,20,17,24,09,15,03,21
2020,233,48,01,32,11,19,34,45
2020,234,13,35,38,16,17,40,04
2020,235,30,46,01,28,19,17,43
2020,236,04,32,20,09,30,45,11
2020,237,31,27,49,11,10,22,18
2020,238,16,12,41,25,37,13,05
2020,239,17,36,43,23,26,15,18
2020,240,39,44,01,14,41,02,19
2020,241,31,09,42,21,08,48,34
2020,242,35,05,42,46,37,19,26
2020,243,33,29,49,18,19,02,05
2020,244,40,22,37,16,13,49,26
2020,245,11,33,25,28,06,20,49
2020,246,49,03,34,38,25,18,33
2020,247,16,43,12,27,31,49,21
2020,248,09,01,21,25,37,49,29
2020,249,40,44,29,23,19,17,46
2020,250,13,31,02,46,06,29,22
2020,251,10,38,33,11,01,07,39
2020,252,09,40,45,46,01,34,16
2020,253,03,27,11,24,13,25,37
2020,254,15,41,39,09,04,02,30
2020,255,17,09,44,10,04,47,27
2020,256,32,20,44,48,38,27,07
2020,257,38,16,03,34,05,40,04
2020,258,04,37,45,16,39,29,03
2020,259,45,28,26,01,46,33,31
2020,260,04,10,15,28,21,05,20
2020,261,45,17,02,32,41,25,04
2020,262,44,39,41,29,28,49,19
2020,263,35,01,27,46,41,21,19
2020,264,49,28,09,17,25,19,08
2020,265,26,39,02,03,44,11,19
2020,266,49,02,35,27,03,40,38
2020,267,11,43,44,10,20,15,46
2020,268,31,08,42,44,10,01,18
2020,269,28,10,30,16,25,42,09
2020,270,08,07,29,05,27,18,01
2020,271,28,13,05,07,26,06,31
2020,272,09,43,08,12,38,10,41
2020,273,20,45,01,47,16,40,31
2020,274,16,45,18,09,17,37,28
2020,275,49,21,02,41,47,45,05
2020,276,03,18,45,47,02,29,41
2020,277,39,15,17,25,36,34,28
2020,278,03,19,42,38,01,09,45
2020,279,27,04,03,32,05,09,35
2020,280,41,46,36,17,35,25,31
2020,281,23,43,14,34,49,46,03
2020,282,47,09,38,31,49,39,19
2020,283,43,03,07,35,45,39,46
2020,284,47,44,36,22,40,39,13
